code,level,term_type,japanese,english,needs_review
C34.8,specific,優先用語,肺の境界部病巣,Overlapping lesion of lung,
C34.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C34.9,specific,優先用語,肺，ＮＯＳ,"Lung, NOS",
C34.9,specific,同義語,気管支，ＮＯＳ,"Bronchus, NOS",
C34.9,specific,同義語,細気管支,Bronchiole,
C34.9,specific,同義語,気管支原発,Bronchogenic,
C34.9,specific,同義語,肺，ＮＯＳ,"Pulmonary, NOS",
C37,category,優先用語,胸腺,THYMUS,
C37.9,specific,優先用語,胸腺,Thymus,
C38,category,優先用語,心臓，縦隔及び胸膜,"HEART, MEDIASTINUM, AND PLEURA",
C38.0,specific,優先用語,心臓,Heart,
C38.0,specific,同義語,心内膜,Endocardium,
C38.0,specific,同義語,心外膜,Epicardium,
C38.0,specific,同義語,心筋,Myocardium,
C38.0,specific,同義語,心膜,Pericardium,
C38.0,specific,同義語,心室,Cardiac ventricle,
C38.0,specific,同義語,心房,Cardiac atrium,
C38.1,specific,優先用語,前縦隔,Anterior mediastinum,
C38.2,specific,優先用語,後縦隔,Posterior mediastinum,
C38.3,specific,優先用語,縦隔，ＮＯＳ,"Mediastinum, NOS",
C38.4,specific,優先用語,胸膜，ＮＯＳ,"Pleura, NOS",
C38.4,specific,同義語,壁側胸膜,Parietal pleura,
C38.4,specific,同義語,臓側胸膜,Visceral pleura,
C38.8,specific,優先用語,心臓，縦隔及び胸膜の境界部病巣,"Overlapping lesion of heart, mediastinum, and pleura",
C38.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C39,category,優先用語,その他及び部位不明確の呼吸,OTHER AND ILL-DEFINED,
C39,category,同義語,器系及び胸腔内臓器,SITES WITHIN RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS,
C39.0,specific,優先用語,上気道，ＮＯＳ,"Upper respiratory tract, NOS",
C39.8,specific,優先用語,呼吸器系及び胸腔内臓器の境界部病巣,Overlapping lesion of respiratory system and intrathoracic organs,
C39.8,specific,同義語,注：呼吸器及び胸腔内臓器の新生物〈腫,Note : Neoplasms of respiratory and,
C39.8,specific,同義語,瘍〉で，発生部位がC30-C39.0のいず,intrathoracic organs whose point,
C39.8,specific,同義語,れの項目にも分類されないもの,of origin cannot be assigned to any one of the categories C30 to C39.0.,
C39.9,specific,優先用語,部位不明確の呼吸器系,Ill-defined sites within respiratory system,
C39.9,specific,同義語,気道，ＮＯＳ,"Respiratory tract, NOS",
C40,category,優先用語,骨，関節及び関節軟骨,"-41 C40-C41 BONES, JOINTS AND ARTICULAR CARTILAGE",
C40,category,同義語,肢の骨，関節及び関節軟骨,"BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS",
C40.0,specific,優先用語,上肢の長骨，肩甲骨及びその関節,"Long bones of upper limb, scapula and associated joints",
C40.0,specific,同義語,肩鎖関節,Acromioclavicular joint,
C40.0,specific,同義語,腕の骨,Bone of arm,
C40.0,specific,同義語,前腕の骨,Bone of forearm,
C40.0,specific,同義語,肩の骨,Bone of shoulder,
C40.0,specific,同義語,肘関節,Elbow joint,
C40.0,specific,同義語,上腕骨,Humerus,
C40.0,specific,同義語,橈骨,Radius,
C40.0,specific,同義語,肩甲骨,Scapula,
C40.0,specific,同義語,肩甲帯,Shoulder girdle,
C40.0,specific,同義語,肩関節,Shoulder joint,
C40.0,specific,同義語,尺骨,Ulna,
C40.1,specific,優先用語,上肢の短骨及びその関節,Short bones of upper limb and associated joints,
C40.1,specific,同義語,指骨,Bone of finger,
C40.1,specific,同義語,手の骨,Bone of hand,
C40.1,specific,同義語,母指の骨,Bone of thumb,
C40.1,specific,同義語,手首の骨,Bone of wrist,
C40.1,specific,同義語,手根骨,Carpal bone,
C40.1,specific,同義語,手の関節,Hand joint,
C40.1,specific,同義語,中手骨,Metacarpal bone,
C40.1,specific,同義語,手の指節骨,Phalanx of hand,
C40.1,specific,同義語,手関節,Wrist joint,
C40.2,specific,優先用語,下肢の長骨及びその関節,Long bones of lower limb and associated joints,
C40.2,specific,同義語,脚の骨,Bone of leg,
C40.2,specific,同義語,大腿骨,Femur,
C40.2,specific,同義語,腓骨,Fibula,
C40.2,specific,同義語,膝関節,"Knee joint, NOS",
C40.2,specific,同義語,半月,Semilunar cartilage,
C40.2,specific,同義語,外側半月,Lateral meniscus of knee joint,
C40.2,specific,同義語,内側半月,Medial meniscus of knee joint,
C40.2,specific,同義語,脛骨,Tibia,
C40.3,specific,優先用語,下肢の短骨,Short bones of lower limb and associated joints,
C40.3,specific,同義語,足関節,Ankle joint,
C40.3,specific,同義語,足関節の骨,Bone of ankle,
C40.3,specific,同義語,足の骨,Bone of foot,
C40.3,specific,同義語,踵骨,Bone of heel,
C40.3,specific,同義語,趾骨,Bone of toe,
C40.3,specific,同義語,足の関節,Foot joint,
C40.3,specific,同義語,中足骨,Metatarsal bone,
C40.3,specific,同義語,膝蓋骨,Patella,
C40.3,specific,同義語,趾節骨,Phalanx of foot,
C40.3,specific,同義語,足根骨,Tarsal bone,
C40.8,specific,優先用語,四肢の骨，関節及び関節軟骨の境界部病巣,"Overlapping lesion of bones, joints and articular cartilage of limbs",
C40.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C40.9,specific,優先用語,四肢の骨，ＮＯＳ,"Bone of limb, NOS",
C40.9,specific,同義語,四肢の軟骨，ＮＯＳ,"Cartilage of limb, NOS",
C40.9,specific,同義語,四肢の関節，ＮＯＳ,"Joint of limb, NOS",
C40.9,specific,同義語,四肢の関節軟骨，ＮＯＳ,"Articular cartilage of limb, NOS",
C41,category,優先用語,その他及び部位不明の骨，関節,"BONES, JOINTS AND",
C41,category,同義語,及び関節軟骨,ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES,
C41.0,specific,優先用語,頭蓋骨，顔面骨及びその関節（下顎,Bones of skull and face and associated,
C41.0,specific,同義語,C41.1を除く）,joints (excludes mandible C41.1),
C41.0,specific,同義語,頭蓋冠,Calvarium,
C41.0,specific,同義語,頭蓋骨,Cranial bone,
C41.0,specific,同義語,篩骨,Ethmoid bone,
C41.0,specific,同義語,顔面骨,Facial bone,
C41.0,specific,同義語,前頭骨,Frontal bone,
C41.0,specific,同義語,舌骨,Hyoid bone,
C41.0,specific,同義語,上顎骨,Maxilla,
C41.0,specific,同義語,鼻骨,Upper jaw bone,
C41.0,specific,同義語,後頭骨,Nasal bone,
C41.0,specific,同義語,眼窩の骨,Occipital bone,
C41.0,specific,同義語,頭頂骨,Orbital bone,
C41.0,specific,同義語,頭蓋，ＮＯＳ,Parietal bone,
C41.0,specific,同義語,蝶形骨,"Skull, NOS",
C41.0,specific,同義語,側頭骨,Sphenoid bone,
C41.0,specific,同義語,頬骨,Temporal bone Zygomatic bone,
C41.1,specific,優先用語,下顎,Mandible,
C41.1,specific,同義語,顎骨，ＮＯＳ,"Jaw bone, NOS",
C41.1,specific,同義語,下顎骨,Lower jaw bone,
C41.1,specific,同義語,顎関節,Temporomandibular joint,
C41.2,specific,優先用語,脊柱（仙骨及び尾骨C41.4を除く）,Vertebral column (excludes sacrum and coccyx C41.4),
C41.2,specific,同義語,環椎,Atlas,
C41.2,specific,同義語,軸椎,Axis,
C41.2,specific,同義語,背骨,Bone of back,
C41.2,specific,同義語,椎間板,Intervertebral disc,
C41.2,specific,同義語,髄核,Nucleus pulposus,
C41.2,specific,同義語,脊柱,Spinal column,
C41.2,specific,同義語,脊椎,Spine,
C41.2,specific,同義語,椎骨,Vertebra,
C41.3,specific,優先用語,肋骨，胸骨，鎖骨及びその関節,"Rib, sternum, clavicle and associated joints",
C41.3,specific,同義語,肋軟骨,Costal cartilage,
C41.3,specific,同義語,肋椎軟骨,Costovertebral joint,
C41.3,specific,同義語,胸肋関節,Sternocostal joint,
C41.4,specific,優先用語,骨盤骨，仙骨，尾骨及びその関節,"Pelvic bones, sacrum, coccyx and associated joints",
C41.4,specific,同義語,寛骨臼,Acetabulum,
C41.4,specific,同義語,股関節部の骨,Bone of hip,
C41.4,specific,同義語,尾骨,Coccyx,
C41.4,specific,同義語,股関節,Hip joint,
C41.4,specific,同義語,腸骨,Ilium,
C41.4,specific,同義語,無名骨,Innominate bone,
C41.4,specific,同義語,坐骨,Ischium,
C41.4,specific,同義語,骨盤骨,Pelvic bone,
C41.4,specific,同義語,恥骨,Pubic bone,
C41.4,specific,同義語,仙骨,Sacrum,
C41.4,specific,同義語,恥骨結合,Symphysis pubis,
C41.8,specific,優先用語,骨，関節及び関節軟骨の境界部病巣,"Overlapping lesion of bones, joints and articular cartilage",
C41.8,specific,同義語,注：骨，関節及び関節軟骨の新生物〈腫,"Note : Neoplasms of bones, joints and",
C41.8,specific,同義語,瘍〉で，その発生部位がC40-C41のい,articular cartilage whose point of,
C41.8,specific,同義語,ずれの項目にも分類されないもの,origin cannot be assigned to any one of the categories C40 to C41.,
C41.9,specific,優先用語,骨，ＮＯＳ,"Bone, NOS",
C41.9,specific,同義語,軟骨，ＮＯＳ,"Cartilage, NOS",
C41.9,specific,同義語,関節，ＮＯＳ,"Joint, NOS",
C41.9,specific,同義語,骨格,Skeletal bone,
C41.9,specific,同義語,関節軟骨，ＮＯＳ,"Articular cartilage, NOS",
C42,category,優先用語,造血系及び細網内皮系,HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS,
C42.0,specific,優先用語,血液,Blood,
C42.1,specific,優先用語,骨髄 ▼１,Bone marrow,
C42.2,specific,優先用語,脾,Spleen,
C42.3,specific,優先用語,細網内皮系，ＮＯＳ,"Reticuloendothelial system, NOS",
C42.4,specific,優先用語,造血系，ＮＯＳ,"Hematopoietic system, NOS",
C44,category,優先用語,皮膚（外陰部の皮膚C51._，陰茎の,"SKIN (excludes skin of vulva C51._,",
C44,category,同義語,皮膚C60.9，陰のうの皮膚,"skin of penis C60.9, skin of",
C44,category,同義語,C63.2を除く）,scrotum C63.2),
C44.0,specific,優先用語,口唇の皮膚，ＮＯＳ,"Skin of lip, NOS",
C44.0,specific,同義語,下唇の皮膚,Skin of lower lip,
C44.0,specific,同義語,上唇の皮膚,Skin of upper lip,
C44.1,specific,優先用語,眼瞼,"Eyelid Lid, NOS Palpebra",
C44.1,specific,同義語,眼角，ＮＯＳ,"Canthus, NOS",
C44.1,specific,同義語,内眼角,Inner canthus,
C44.1,specific,同義語,下眼瞼,Lower lid,
C44.1,specific,同義語,マイボーム腺,Meibomian gland,
C44.1,specific,同義語,外眼角,Outer canthus,
C44.1,specific,同義語,上眼角,Upper lid,
C44.2,specific,優先用語,外耳,External ear,要確認
C44.2,specific,同義語,耳介，ＮＯＳ,"Auricle, NOS",要確認
C44.2,specific,同義語,耳垢腺,Pinna,要確認
C44.2,specific,同義語,耳甲介,Ceruminal gland,要確認
C44.2,specific,同義語,耳，ＮＯＳ,Concha,要確認
C44.2,specific,同義語,耳朶,"Ear, NOS",要確認
C44.2,specific,同義語,外耳道,Ear lobule,要確認
C44.2,specific,同義語,耳道，ＮＯＳ,Earlobe,要確認
C44.2,specific,同義語,耳輪,"External auditory canal Auditory canal, NOS Auricular canal, NOS External auricular canal Ear canal External auditory meatus Helix",要確認
C44.2,specific,同義語,耳介の皮膚,Skin of auricle,要確認
C44.2,specific,同義語,耳の皮膚，ＮＯＳ,"Skin of ear, NOS",要確認
C44.2,specific,同義語,耳珠,Tragus,要確認
C44.3,specific,優先用語,その他及び部位不明の顔面の皮膚,Skin of other and unspecified parts of face,
C44.3,specific,同義語,皮膚：,Skin of:,
C44.3,specific,同義語,・頬部,· cheek,
C44.3,specific,同義語,・おとがい,· chin,
C44.3,specific,同義語,・顔面,· face,
C44.3,specific,同義語,・前頭部,· forehead,
C44.3,specific,同義語,・顎部,· jaw,
C44.3,specific,同義語,・鼻部,· nose,
C44.3,specific,同義語,・側頭部,· temple,
C44.3,specific,同義語,鼻翼,Ala nasi,
C44.3,specific,同義語,おとがい，ＮＯＳ,"Chin, NOS",
C44.3,specific,同義語,鼻の支柱,Columnella,
C44.3,specific,同義語,眉毛,Eyebrow Brow,
C44.3,specific,同義語,頬，外面,External cheek,
C44.3,specific,同義語,鼻，外面,External nose,
C44.3,specific,同義語,前頭部，ＮＯＳ,"Forehead, NOS",
C44.3,specific,同義語,側頭部，ＮＯＳ,"Temple, NOS",
C44.4,specific,優先用語,頭皮及び頸の皮膚,Skin of scalp and neck,
C44.4,specific,同義語,頭部の皮膚，ＮＯＳ,"Skin of head, NOS",
C44.4,specific,同義語,頸部の皮膚,Skin of neck,
C44.4,specific,同義語,頭皮，ＮＯＳ,"Skin of scalp Scalp, NOS",
C44.4,specific,同義語,頸部の皮膚,Skin of cervical region,
C44.4,specific,同義語,鎖骨上部の皮膚,Skin of supraclavicular region,
C44.5,specific,優先用語,体幹の皮膚,Skin of trunk,
C44.5,specific,同義語,皮膚：,Skin of:,
C44.5,specific,同義語,・腹部,· abdomen,
C44.5,specific,同義語,・腹壁,· abdominal wall,
C44.5,specific,同義語,・肛門,· anus,
C44.5,specific,同義語,・腋窩,· axilla,
C44.5,specific,同義語,・背部,· back,
C44.5,specific,同義語,・乳房,· breast,
C44.5,specific,同義語,・殿部,· buttock,
C44.5,specific,同義語,・胸部,· chest,
C44.5,specific,同義語,・胸壁,· chest wall,
C44.5,specific,同義語,・側腹部,· flank,
C44.5,specific,同義語,・そけい部,· groin,
C44.5,specific,同義語,・会陰部,· perineum,
C44.5,specific,同義語,・胸壁,· thoracic wall,
C44.5,specific,同義語,・胸郭,· thorax,
C44.5,specific,同義語,・体幹,· trunk,
C44.5,specific,同義語,・臍部,· umbilicus,
C44.5,specific,同義語,・臀部,· gluteal region,
C44.5,specific,同義語,・鎖骨下部,· infraclavicular region,
C44.5,specific,同義語,・そけい部,· inguinal region,
C44.5,specific,同義語,・仙尾骨,· sacrococcygeal region,
C44.5,specific,同義語,・肩甲部,· scapular region,
C44.5,specific,同義語,肛門周囲皮膚,Perianal skin,
C44.5,specific,同義語,臍，ＮＯＳ,"Umbilicus, NOS",
C44.6,specific,優先用語,上肢及び肩の皮膚,Skin of upper limb and shoulder,
C44.6,specific,同義語,皮膚：,Skin of:,
C44.6,specific,同義語,・肘前窩,· antecubital space,
C44.6,specific,同義語,・腕,· arm,
C44.6,specific,同義語,・肘,· elbow,
C44.6,specific,同義語,・指,· finger,
C44.6,specific,同義語,・前腕,· forearm,
C44.6,specific,同義語,・手,· hand,
C44.6,specific,同義語,・手掌,· palm,
C44.6,specific,同義語,・肩,· shoulder,
C44.6,specific,同義語,・母指,· thumb,
C44.6,specific,同義語,・上肢,· upper limb,
C44.6,specific,同義語,・手首,· wrist,
C44.6,specific,同義語,指爪,Finger nail,
C44.6,specific,同義語,手掌の皮膚,Palmar skin,
C44.7,specific,優先用語,下肢及び股関節部の皮膚,Skin of lower limb and hip,
C44.7,specific,同義語,皮膚：,Skin of:,
C44.7,specific,同義語,・足首,· ankle,
C44.7,specific,同義語,・ふくらはぎ,· calf,
C44.7,specific,同義語,・足,· foot,
C44.7,specific,同義語,・かかと,· heel,
C44.7,specific,同義語,・股関節部,· hip,
C44.7,specific,同義語,・膝,· knee,
C44.7,specific,同義語,・脚,· leg,
C44.7,specific,同義語,・下肢,· lower limb,
C44.7,specific,同義語,・膝窩,· popliteal space,
C44.7,specific,同義語,・大腿,· thigh,
C44.7,specific,同義語,・趾,· toe,
C44.7,specific,同義語,足底皮膚,Plantar skin,
C44.7,specific,同義語,足底,Sole of foot,
C44.7,specific,同義語,趾爪,Toe nail,
C44.8,specific,優先用語,皮膚の境界部病巣,Overlapping lesion of skin,
C44.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C44.9,specific,優先用語,皮膚，ＮＯＳ（大陰唇の皮膚C51.0，外陰,"Skin, NOS (excludes skin of labia majora",
C44.9,specific,同義語,部の皮膚C51.9，陰茎の皮膚C60.9，陰,"C51.0, skin of vulva C51.9, skin of penis",
C47,category,優先用語,末梢神経及び自律神経系（自律神経系，神経節，神経，副交感神経系，末梢神経，脊髄神経，交感神経系を含む）,"PERIPHERAL NERVES AND AUTONOMIC NERVOUS SYSTEM (includes autonomic nervous system, ganglia, nerve, parasympathetic nervous system, peripheral nerve, spinal nerve, sympathetic nervous system)",
C47.0,specific,優先用語,頭部，顔面及び頸部の末梢神経及び自律神経系（眼窩の末梢神経及び自律神経系C69.6を除く）,"Peripheral nerves and autonomic nervous system of head, face, and neck (excludes peripheral nerves and autonomic nervous system of orbit C69.6)",
C47.0,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：頬部，おとがい，前頭部，頭部，頸部，頭皮，側頭部，翼突窩，鎖骨上部,"Peripheral nerves and autonomic nervous system of (see list under C47): cheek, chin, face, forehead, head, neck, scalp, temple, cervical region, pterygoid fossa, supraclavicular region",
C47.0,specific,同義語,頸神経そう（叢）,Cervical plexus,
C47.1,specific,優先用語,上肢及び肩の末梢神経及び自律神経系,Peripheral nerves and autonomic nervous system of upper limb and shoulder,
C47.1,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：肘前窩，腕，肘，指，前腕，手，肩，母指，手首,"Peripheral nerves and autonomic nervous system of (see list under C47): antecubital space, arm, elbow, finger, forearm, hand, shoulder, thumb, wrist",
C47.1,specific,同義語,上腕神経,Brachial nerve,
C47.1,specific,同義語,腕神経そう（叢）,Brachial plexus,
C47.1,specific,同義語,正中神経,Median nerve,
C47.1,specific,同義語,橈骨神経,Radial nerve,
C47.1,specific,同義語,尺骨神経,Ulnar nerve,
C47.2,specific,優先用語,下肢及び股関節部の末梢神経及び自律神経系,Peripheral nerves and autonomic nervous system of lower limb and hip,
C47.2,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：足首，ふくらはぎ，足，かかと，股関節部，膝，脚，膝窩，大腿，趾,"Peripheral nerves and autonomic nervous system of (see list under C47): ankle, calf, foot, heel, hip, knee, leg, popliteal space, thigh, toe",
C47.2,specific,同義語,大腿神経,Femoral nerve,
C47.2,specific,同義語,閉鎖神経,Obturator nerve,
C47.2,specific,同義語,坐骨神経,Sciatic nerve,
C47.3,specific,優先用語,胸郭の末梢神経及び自律神経系,Peripheral nerves and autonomic nervous system of thorax,
C47.3,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：腋窩，胸部，胸壁，鎖骨上部，肩甲部,"Peripheral nerves and autonomic nervous system of (see list under C47): axilla, chest, chest wall, thoracic wall, infraclavicular region, scapular region",
C47.3,specific,同義語,肋間神経,Intercostal nerve,
C47.4,specific,優先用語,腹部の末梢神経及び自律神経系,Peripheral nerves and autonomic nervous system of abdomen,
C47.4,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：腹壁，臍,"Peripheral nerves and autonomic nervous system of (see list under C47): abdominal wall, umbilicus",
C47.5,specific,優先用語,骨盤の末梢神経及び自律神経系,Peripheral nerves and autonomic nervous system of pelvis,
C47.5,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：殿部，そけい部，会陰部，仙尾骨部,"Peripheral nerves and autonomic nervous system of (see list under C47): buttock, groin, perineum, gluteal region, inguinal region, sacrococcygeal region",
C47.5,specific,同義語,腰仙骨神経そう（叢）,Lumbosacral plexus,
C47.5,specific,同義語,仙骨神経,Sacral nerve,
C47.5,specific,同義語,仙骨神経そう（叢）,Sacral plexus,
C47.6,specific,優先用語,体幹の末梢神経及び自律神経系，NOS,"Peripheral nerves and autonomic nervous system of trunk, NOS",
C47.6,specific,同義語,末梢神経及び自律神経系（C47のリストを参照）：背部，側腹部，体幹,"Peripheral nerves and autonomic nervous system of (see list under C47): back, flank, trunk",
C47.6,specific,同義語,腰神経,Lumbar nerve,
C47.8,specific,優先用語,末梢神経及び自律神経系の境界部病巣,Overlapping lesion of peripheral nerves and autonomic nervous system,
C47.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C47.9,specific,優先用語,自律神経系，NOS,"Autonomic nervous system, NOS",
C47.9,specific,同義語,神経節，NOS,"Ganglia, NOS",
C47.9,specific,同義語,神経，NOS,"Nerve, NOS",
C47.9,specific,同義語,副交感神経系，NOS,"Parasympathetic nervous system, NOS",
C47.9,specific,同義語,末梢神経，NOS,"Peripheral nerve, NOS",
C47.9,specific,同義語,脊髄神経，NOS,"Spinal nerve, NOS",
C47.9,specific,同義語,交感神経系，NOS,"Sympathetic nervous system, NOS",
C48,category,優先用語,後腹膜及び腹膜,RETROPERITONEUM AND PERITONEUM,
C48.0,specific,優先用語,後腹膜,Retroperitoneum,
C48.0,specific,同義語,副腎周囲組織,Periadrenal tissue,
C48.0,specific,同義語,腎周囲組織,Perinephric tissue,
C48.0,specific,同義語,膵周囲組織,Peripancreatic tissue,
C48.0,specific,同義語,盲腸後組織,Perirenal tissue,
C48.0,specific,同義語,後腹膜組織,Retrocecal tissue Retroperitoneal tissue,
C48.1,specific,優先用語,腹膜の明示された部位,Specified parts of peritoneum,
C48.1,specific,同義語,腸間膜,Mesentery,
C48.1,specific,同義語,虫垂間膜,Mesoappendix,
C48.1,specific,同義語,結腸間膜,Mesocolon,
C48.1,specific,同義語,大網,Omentum,
C48.1,specific,同義語,骨盤腹膜,Pelvic peritoneum,
C48.1,specific,同義語,直腸子宮窩,Rectouterine pouch Cul de sac,
C48.1,specific,同義語,ダグラス窩,Pouch of Douglas,
C48.1,specific,同義語,（73ページの注を参照）,(see note page 45),
C48.2,specific,優先用語,腹膜，ＮＯＳ,"Peritoneum, NOS",
C48.2,specific,同義語,腹膜腔,Peritoneal cavity,
C48.8,specific,優先用語,後腹膜及び腹膜の境界部病巣,Overlapping lesion of retroperitoneum and peritoneum,
C48.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C49,category,優先用語,結合組織，皮下組織及びその他の軟部組織（脂肪組織，腱膜，動脈，血管，滑液のう，結合組織，筋膜，線維組織，靭帯，リンパ管，筋，骨格筋，皮下組織，滑膜，腱，腱鞘，静脈，脈管を含む）,"CONNECTIVE, SUBCUTANEOUS AND OTHER SOFT TISSUES (includes adipose tissue, aponeuroses, artery, blood vessel, bursa, connective tissue, fascia, fatty tissue, fibrous tissue, ligament, lymphatic, muscle, skeletal muscle, subcutaneous tissue, synovia, tendon, tendon sheath, vein, vessel)",
C49.0,specific,優先用語,頭部，顔面及び頸部の結合組織，皮下組織及びその他の軟部組織（眼窩の結合組織C69.6及び鼻軟骨C30.0を除く）,"Connective, subcutaneous and other soft tissues of head, face, and neck (excludes connective tissue of orbit C69.6 and nasal cartilage C30.0)",
C49.0,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：頬部，おとがい，顔面，前頭部，頭部，頸部，頭皮，側頭部，頸部，翼突窩，鎖骨上部,"Connective, subcutaneous and other soft tissues of (see list under C49): cheek, chin, face, forehead, head, neck, scalp, temple, cervical region, pterygoid fossa, supraclavicular region",
C49.0,specific,同義語,耳の軟骨,Auricular cartilage,
C49.0,specific,同義語,耳の軟骨,Cartilage of ear,
C49.0,specific,同義語,頸動脈,Carotid artery,
C49.0,specific,同義語,咬筋,Masseter muscle,
C49.0,specific,同義語,胸鎖乳突筋,Sternocleidomastoid muscle,
C49.1,specific,優先用語,上肢及び肩の結合組織，皮下組織及びその他の軟部組織,"Connective, subcutaneous and other soft tissues of upper limb and shoulder",
C49.1,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：肘前窩，腕，肘，指，前腕，手，肩，母指，手首,"Connective, subcutaneous and other soft tissues of (see list under C49): antecubital space, arm, elbow, finger, forearm, hand, shoulder, thumb, wrist",
C49.1,specific,同義語,上腕二頭筋,Biceps brachii muscle,
C49.1,specific,同義語,上腕筋,Brachialis muscle,
C49.1,specific,同義語,烏口腕筋,Coracobrachialis muscle,
C49.1,specific,同義語,三角筋,Deltoideus muscle,
C49.1,specific,同義語,手掌腱膜,Palmar aponeurosis,
C49.1,specific,同義語,手掌筋膜,Palmar fascia,
C49.1,specific,同義語,橈骨動脈,Radial artery,
C49.1,specific,同義語,上腕三頭筋,Triceps brachii muscle,
C49.1,specific,同義語,尺骨動脈,Ulnar artery,
C49.2,specific,優先用語,下肢及び股関節部の結合組織，皮下組織及びその他の軟部組織,"Connective, subcutaneous and other soft tissues of lower limb and hip",
C49.2,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：足首，ふくらはぎ，足，かかと，股関節部，膝，脚，膝窩，大腿，趾,"Connective, subcutaneous and other soft tissues of (see list under C49): ankle, calf, foot, heel, hip, knee, leg, popliteal space, thigh, toe",
C49.2,specific,同義語,大腿二頭筋,Biceps femoris muscle,
C49.2,specific,同義語,大腿動脈,Femoral artery,
C49.2,specific,同義語,腓腹筋,Gastrocnemius muscle,
C49.2,specific,同義語,足底腱膜,Plantar aponeurosis,
C49.2,specific,同義語,足底筋膜,Plantar fascia,
C49.2,specific,同義語,大腿四頭筋,Quadriceps femoris muscle,
C49.3,specific,優先用語,胸郭の結合組織，皮下組織及びその他の軟部組織（胸腺C37.9，心臓及び縦隔C38._を除く）,"Connective, subcutaneous and other soft tissues of thorax (excludes thymus C37.9, heart and mediastinum C38._)",
C49.3,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：腋窩，胸部，胸壁，胸郭，鎖骨上部，肩甲部,"Connective, subcutaneous and other soft tissues of (see list under C49): axilla, chest, chest wall, thorax, thoracic wall, infraclavicular region, scapular region",
C49.3,specific,同義語,大動脈，NOS,"Aorta, NOS",
C49.3,specific,同義語,腋窩動脈,Axillary artery,
C49.3,specific,同義語,横隔膜,Diaphragm,
C49.3,specific,同義語,肋間筋,Intercostal muscle,
C49.3,specific,同義語,内胸動脈,Internal mammary artery,
C49.3,specific,同義語,広背筋,Latissimus dorsi muscle,
C49.3,specific,同義語,大胸筋,Pectoralis major muscle,
C49.3,specific,同義語,鎖骨下動脈,Subclavian artery,
C49.3,specific,同義語,上大静脈,Superior vena cava,
C49.3,specific,同義語,胸管,Thoracic duct,
C49.3,specific,同義語,僧帽筋,Trapezius muscle,
C49.4,specific,優先用語,腹部の結合組織，皮下組織及びその他の軟部組織,"Connective, subcutaneous and other soft tissues of abdomen",
C49.4,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：腹部，腹壁，臍,"Connective, subcutaneous and other soft tissues of (see list under C49): abdomen, abdominal wall, umbilicus",
C49.4,specific,同義語,腹部大動脈,Abdominal aorta,
C49.4,specific,同義語,腹部大静脈,Abdominal vena cava,
C49.4,specific,同義語,腹壁筋,Abdominal wall muscle,
C49.4,specific,同義語,腹腔動脈,Celiac artery,
C49.4,specific,同義語,腸腰筋,Iliopsoas muscle,
C49.4,specific,同義語,下大静脈,Inferior vena cava,
C49.4,specific,同義語,腸間膜動脈,Mesenteric artery,
C49.4,specific,同義語,腰筋,Psoas muscle,
C49.4,specific,同義語,腹直筋,Rectus abdominis muscle,
C49.4,specific,同義語,腎動脈,Renal artery,
C49.4,specific,同義語,大静脈，NOS,"Vena cava, NOS",
C49.5,specific,優先用語,骨盤の結合組織，皮下組織及びその他の軟部組織,"Connective, subcutaneous and other soft tissues of pelvis",
C49.5,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：殿部，そけい部，会陰部，仙尾骨部,"Connective, subcutaneous and other soft tissues of (see list under C49): buttock, groin, perineum, gluteal region, inguinal region, sacrococcygeal region",
C49.5,specific,同義語,大殿筋,Gluteus maximus muscle,
C49.5,specific,同義語,腸骨動脈,Iliac artery,
C49.5,specific,同義語,腸骨静脈,Iliac vein,
C49.6,specific,優先用語,体幹の結合組織，皮下組織及びその他の軟部組織，NOS,"Connective, subcutaneous and other soft tissues of trunk, NOS",
C49.6,specific,同義語,結合組織，皮下組織及びその他の軟部組織（C49のリストを参照）：背部，側腹部，体幹,"Connective, subcutaneous and other soft tissues of (see list under C49): back, flank, trunk",
